,City,Latitude,Longitude,Temperature,Humidity,cloudiness,windspeed,Country,Dates
0,Bredasdorp,-34.5322,20.0403,41.0,93,0,2.3,ZA,1619829914
1,Cape Town,-33.9258,18.4232,56.73,82,0,9.22,ZA,1619829914
2,Dikson,73.5069,80.5464,16.39,96,99,7.61,RU,1619829915
3,Zhezkazgan,47.8043,67.7144,47.17,44,0,5.97,KZ,1619829915
4,Pandan,14.0453,124.1694,82.89,63,8,1.59,PH,1619829915
5,Busselton,-33.65,115.3333,54.82,95,100,1.99,AU,1619829916
6,Kahului,20.8947,-156.47,76.66,69,40,17.27,US,1619829865
7,Tasiilaq,65.6145,-37.6368,26.6,86,26,3.44,GL,1619829917
8,Punta Arenas,-53.15,-70.9167,42.39,100,90,5.75,CL,1619829737
9,Cockburn Town,21.4612,-71.1419,78.8,69,40,8.05,TC,1619829917
10,Ushuaia,-54.8,-68.3,37.4,93,75,5.75,AR,1619829918
11,Mataura,-46.1927,168.8643,54.0,74,48,5.01,NZ,1619829839
12,Airai,-8.9266,125.4092,70.56,52,74,3.89,TL,1619829918
13,Ponta do Sol,32.6667,-17.1,54.91,57,100,3.0,PT,1619829842
14,Adrar,20.5022,-10.0711,77.99,42,100,3.33,MR,1619829851
15,Kaeo,-35.1,173.7833,70.0,67,25,7.0,NZ,1619829919
16,Atuona,-9.8,-139.0333,79.41,68,0,3.47,PF,1619829920
17,La Asuncion,11.0333,-63.8628,78.8,83,100,16.11,VE,1619829920
18,Mataram,-8.5833,116.1167,84.2,74,20,1.14,ID,1619829921
19,Ilulissat,69.2167,-51.1,37.4,52,99,4.27,GL,1619829921
20,Rikitea,-23.1203,-134.9692,79.0,78,94,19.75,PF,1619829921
21,Vaini,-21.2,-175.2,77.0,94,75,13.8,TO,1619829824
22,East London,-33.0153,27.9116,61.57,75,65,12.17,ZA,1619829922
23,Bluff,-46.6,168.3333,54.0,74,85,5.01,NZ,1619829922
24,Dalbandin,28.8947,64.4101,73.38,40,100,2.06,PK,1619829923
25,Hithadhoo,-0.6,73.0833,83.91,72,98,6.73,MV,1619829837
26,Bethel,41.3712,-73.414,51.19,40,90,18.41,US,1619829923
27,Kapaa,22.0752,-159.319,72.86,78,90,8.05,US,1619829924
28,Port Alfred,-33.5906,26.891,58.93,84,1,13.2,ZA,1619829924
29,Albany,42.6001,-73.9662,45.79,65,54,4.0,US,1619829733
30,Kimbe,-5.5502,150.1429,89.8,53,53,2.19,PG,1619829925
31,Fairbanks,64.8378,-147.7164,35.08,51,90,12.66,US,1619829784
32,Inhambane,-23.865,35.3833,72.28,80,100,7.18,MZ,1619829858
33,Charters Towers,-20.1,146.2667,75.58,56,19,12.06,AU,1619829926
34,Maricá,-22.9194,-42.8186,73.4,68,75,6.91,BR,1619829926
35,Narsaq,60.9167,-46.05,50.0,29,67,24.16,GL,1619829926
36,Laguna,38.421,-121.4238,81.0,18,1,8.05,US,1619829927
37,Batangafo,7.3008,18.2833,73.78,83,100,3.98,CF,1619829927
38,Iquique,-20.2208,-70.1431,64.4,68,0,12.66,CL,1619829725
39,Saskylakh,71.9167,114.0833,31.96,92,100,7.23,RU,1619829928
40,Ustrzyki Dolne,49.4304,22.5938,42.08,86,57,3.76,PL,1619829928
41,Marsh Harbour,26.5412,-77.0636,77.81,73,22,5.06,BS,1619829928
42,Porto Velho,-8.7619,-63.9039,77.0,83,0,1.77,BR,1619829817
43,Lindås,60.7381,5.16,38.66,82,5,1.99,NO,1619829929
44,Esperance,-33.8667,121.9,55.4,94,90,6.91,AU,1619829929
45,Bow Island,49.8668,-111.3684,71.71,24,74,21.85,CA,1619829930
46,Port Blair,11.6667,92.75,77.0,88,20,0.34,IN,1619829930
47,Arraial do Cabo,-22.9661,-42.0278,72.19,64,28,9.28,BR,1619829706
48,Barrow,71.2906,-156.7887,21.2,79,90,4.61,US,1619829930
49,Necochea,-38.5473,-58.7368,54.0,83,0,3.0,AR,1619829665
50,Lilongwe,-13.9669,33.7873,64.06,91,12,1.83,MW,1619829931
51,Kamaishi,39.2667,141.8833,55.4,58,20,3.44,JP,1619829931
52,Znamenskoye,57.1281,73.8282,36.48,68,3,11.79,RU,1619829932
53,Djambala,-2.5447,14.7533,69.37,94,100,3.78,CG,1619829932
54,Sitka,57.0531,-135.33,46.4,87,90,6.91,US,1619829932
55,Lagoa,39.05,-27.9833,59.13,73,100,9.53,PT,1619829881
56,Energetik,51.7445,58.7934,42.82,72,39,4.07,RU,1619829933
57,Bambous Virieux,-20.3428,57.7575,77.0,78,75,13.8,MU,1619829899
58,Les Cayes,18.2,-73.75,76.57,82,63,3.76,HT,1619829861
59,Carnarvon,-24.8667,113.6333,64.4,55,100,10.36,AU,1619829933
60,Chui,-33.6971,-53.4616,59.85,93,100,7.9,UY,1619829727
61,Orlik,52.5178,99.825,35.4,93,100,5.3,RU,1619829934
62,Puerto Ayora,-0.7393,-90.3518,74.68,81,1,7.85,EC,1619829934
63,Vila Velha,-20.3297,-40.2925,75.29,68,0,11.5,BR,1619829862
64,Angarsk,52.5367,103.8864,33.8,100,90,4.47,RU,1619829781
65,Kaitangata,-46.2817,169.8464,59.0,52,94,8.01,NZ,1619829935
66,Tomatlán,19.9333,-105.25,79.88,56,30,6.64,MX,1619829935
67,Fortuna,40.5982,-124.1573,56.91,94,20,12.66,US,1619829852
68,Mahébourg,-20.4081,57.7,77.0,78,75,13.8,MU,1619829935
69,Castro,-24.7911,-50.0119,50.81,95,23,5.95,BR,1619829936
70,Volot,57.9278,30.7025,29.84,91,6,5.3,RU,1619829936
71,Mayo,38.8876,-76.5119,54.7,55,4,1.99,US,1619829936
72,Khandyga,62.6667,135.6,37.38,96,100,0.89,RU,1619829937
73,Van,38.4924,43.3831,46.4,87,40,4.61,TR,1619829937
74,Emba,48.8264,58.1442,47.19,51,22,9.01,KZ,1619829938
75,Klaksvík,62.2266,-6.589,35.6,87,75,8.93,FO,1619829938
76,Tiksi,71.6872,128.8694,30.45,89,16,4.43,RU,1619829938
77,Beloha,-25.1667,45.05,69.33,74,8,4.59,MG,1619829939
78,Luganville,-15.5333,167.1667,81.57,76,40,9.73,VU,1619829939
79,Manakara,-22.1333,48.0167,70.34,94,20,4.65,MG,1619829939
80,Butaritari,3.0707,172.7902,83.44,73,25,11.59,KI,1619829940
81,Surgut,61.25,73.4167,35.6,93,40,8.95,RU,1619829940
82,San Patricio,28.017,-97.5169,74.21,88,90,14.97,US,1619829941
83,Ancud,-41.8697,-73.8203,53.28,100,90,13.8,CL,1619829941
84,Presidencia Roque Sáenz Peña,-26.7852,-60.4388,60.78,80,1,6.22,AR,1619829941
85,Khatanga,71.9667,102.5,33.06,92,100,10.04,RU,1619829942
86,Sungai Raya,0.7,108.9,80.98,74,78,4.0,ID,1619829682
87,Tuatapere,-46.1333,167.6833,54.0,74,96,5.01,NZ,1619829928
88,Ixtapa,20.7,-105.2,78.4,78,75,13.8,MX,1619829942
89,Paita,-5.0892,-81.1144,70.66,78,20,12.5,PE,1619829929
90,Esim,4.8699,-2.2405,81.37,80,100,6.73,GH,1619829943
91,Lüderitz,-26.6481,15.1594,63.0,39,0,13.44,NA,1619829889
92,Hermanus,-34.4187,19.2345,53.01,82,0,1.99,ZA,1619829863
93,Elko,41.0002,-115.5012,81.48,13,1,10.36,US,1619829944
94,Cabo San Lucas,22.8909,-109.9124,80.26,32,1,14.97,MX,1619829876
95,Port Elizabeth,-33.918,25.5701,59.0,58,0,9.22,ZA,1619829739
96,New Norfolk,-42.7826,147.0587,62.53,55,75,11.5,AU,1619829944
97,Fort Nelson,58.8053,-122.7002,59.0,23,75,9.22,CA,1619829673
98,Hong Kong,22.2855,114.1577,75.87,83,98,2.55,HK,1619829731
99,Panzhihua,26.5851,101.7128,72.72,54,100,0.83,CN,1619829945
100,Sørland,67.667,12.6934,35.6,60,100,11.83,NO,1619829853
101,Gorin,51.1983,136.6669,40.55,63,100,8.79,RU,1619829946
102,Camacha,33.0833,-16.3333,60.8,72,20,6.91,PT,1619829947
